5/28/2021,38507.08203,38856.96875,34779.03906,35697.60547,35697.60547,55200191952
5/29/2021,35684.15625,37234.5,33693.92969,34616.06641,34616.06641,45231013335
5/30/2021,34607.40625,36400.66797,33520.73828,35678.12891,35678.12891,31646080921
5/31/2021,35658.59375,37468.25,34241.94531,37332.85547,37332.85547,39009847639
6/1/2021,37293.79297,37896.73438,35787.08594,36684.92578,36684.92578,34639423297
6/2/2021,36699.92188,38231.33984,35966.30859,37575.17969,37575.17969,33070867190
6/3/2021,37599.41016,39478.95313,37243.97266,39208.76563,39208.76563,35460750427
6/4/2021,39242.48438,39242.48438,35717.72266,36894.40625,36894.40625,41831090187
6/5/2021,36880.15625,37917.71484,34900.41406,35551.95703,35551.95703,35959473399
6/6/2021,35538.60938,36436.42188,35304.57813,35862.37891,35862.37891,28913440585
6/7/2021,35835.26563,36790.57031,33480.64063,33560.70703,33560.70703,33683936663
6/8/2021,33589.51953,34017.38672,31114.44336,33472.63281,33472.63281,49902050442
6/9/2021,33416.97656,37537.37109,32475.86523,37345.12109,37345.12109,53972919008
6/10/2021,37389.51563,38334.32422,35847.59375,36702.59766,36702.59766,43576032854
6/12/2021,37230.69531,37358.45703,35723.14453,35936.96484,35936.96484,38977576960
